Node1,Node2,Weight,P_value,Label1,Label2
unidentified_Bathyarchaeia,Sideroxydans,-0.9903830696943509,0.08836128413377675,0.006659358,0.030291956
unidentified_Bathyarchaeia,Candidatus_Nitrosotalea,0.9398850656225719,0.22186373737094278,0.006659358,0.019937467
unidentified_Bathyarchaeia,GOUTA6,-0.9101038131553796,0.27200331466964417,0.006659358,0.029358022
unidentified_Bathyarchaeia,Candidatus_Solibacter,-0.8125706637877375,0.3961349109666217,0.006659358,0.024769562
unidentified_Bathyarchaeia,Bacillus,-0.9752198004204207,0.14201965340283565,0.006659358,0.015145978
unidentified_Bathyarchaeia,Pseudolabrys,0.9310301693274738,0.23782252062828949,0.006659358,0.002598774
unidentified_Bathyarchaeia,Syntrophus,-0.9639718404889438,0.17140708168546764,0.006659358,0.001624234
unidentified_Bathyarchaeia,ADurb.Bin063-1,-0.9954943584139251,0.06045561466155764,0.006659358,0.021642912
unidentified_Bathyarchaeia,unidentified_SCGC_AAA011-D5,0.9975860187140031,0.044243499816404526,0.006659358,0.0
unidentified_Bathyarchaeia,Acidothermus,-0.940523467136288,0.2206705278203056,0.006659358,0.012547204
unidentified_Bathyarchaeia,Nitrospira,-0.9986820795309999,0.03268793088767846,0.006659358,0.00966419
unidentified_Bathyarchaeia,Candidatus_Udaeobacter,-0.9968119426935533,0.05084797097621614,0.006659358,0.011938117
unidentified_Bathyarchaeia,Gaiella,-0.9975860187140033,0.044243499816402486,0.006659358,0.001055752
unidentified_Bathyarchaeia,Syntrophorhabdus,0.745106909049056,0.46479686191898334,0.006659358,0.002314533
unidentified_Bathyarchaeia,Streptomyces,-0.9975860187140033,0.044243499816402486,0.006659358,0.000284241
unidentified_Bathyarchaeia,Pajaroellobacter,-0.9410625317944055,0.21965814224767752,0.006659358,0.006496934
unidentified_Bathyarchaeia,Bradyrhizobium,-0.9180692839105512,0.2594951467949675,0.006659358,0.007552686
unidentified_Bathyarchaeia,unidentified_Candidatus_Jorgensenbacteria,0.7701312023384315,0.44038142033434974,0.006659358,0.00048727
unidentified_Bathyarchaeia,Occallatibacter,0.8292656821007768,0.37751800518540657,0.006659358,0.003735737
unidentified_Bathyarchaeia,Rhodomicrobium,-0.8170737853353318,0.39118964241929527,0.006659358,0.003451496
unidentified_Bathyarchaeia,Conexibacter,-0.9925745525658404,0.07762927626946514,0.006659358,0.003938766
unidentified_Bathyarchaeia,Geobacter,0.8658624797899322,0.3335407161042069,0.006659358,0.005035124
unidentified_Bathyarchaeia,Methylobacter,-0.9975860187140032,0.044243499816402486,0.006659358,0.000162423
unidentified_Bathyarchaeia,Pedomicrobium,-0.8384944550402738,0.36687247097600356,0.006659358,0.000893328
unidentified_Bathyarchaeia,Mycobacterium,-0.9975860187140033,0.044243499816402486,0.006659358,0.004019978
unidentified_Bathyarchaeia,Sulfurifustis,-0.9975860187140033,0.044243499816402486,0.006659358,0.000121818
unidentified_Bathyarchaeia,Lacunisphaera,0.9517042097872462,0.1986613248383117,0.006659358,0.006902993
unidentified_Bathyarchaeia,Sumerlaea,0.7629878620610884,0.4474631780096315,0.006659358,0.000852723
unidentified_Bathyarchaeia,Methylocystis,-0.9805684458116195,0.12570561005003564,0.006659358,0.001543022
unidentified_Bathyarchaeia,Acidibacter,0.9843179683184192,0.11289259985707897,0.006659358,0.003248467
unidentified_Bathyarchaeia,Pseudonocardia,-0.9975860187140032,0.044243499816402486,0.006659358,0.002964226
unidentified_Bathyarchaeia,unidentified_SAR324_clade(Marine_group_B),-0.7321798913366465,0.4770060590234955,0.006659358,0.00048727
unidentified_Bathyarchaeia,unidentified_Subgroup_7,-0.9649087965908228,0.1691501920161299,0.006659358,0.004466642
unidentified_Bathyarchaeia,Sporosarcina,-0.9975860187140031,0.044243499816404526,0.006659358,0.003167255
unidentified_Bathyarchaeia,Nakamurella,-0.9975860187140033,0.044243499816402486,0.006659358,0.002030292
